
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1008.0      3   27.2   22.2     74  17.03      0      0  299.7  349.7  302.7
 1006.0     24   28.8   21.8     66  16.65    318      1  301.4  350.7  304.4
 1000.0     86   28.2   22.2     70  17.17    190      2  301.4  352.1  304.4
  968.0    375   26.5   21.7     75  17.25    190     10  302.4  353.7  305.5
  952.0    523   25.6   21.5     78  17.28    205     11  303.0  354.4  306.1
  925.0    776   24.2   18.2     69  14.43    230     12  304.1  347.2  306.7
  902.0    996   22.4   17.5     74  14.17    250     16  304.4  346.8  306.9
  885.0   1162   21.0   17.0     78  13.97    255     20  304.6  346.5  307.1
  850.0   1512   20.0   14.0     68  11.96    265     28  307.1  343.4  309.3
  815.0   1874   18.4   13.5     73  12.05    260     29  309.1  346.0  311.3
  791.0   2131   17.2   13.1     77  12.12    258     27  310.5  347.8  312.7
  783.0   2218   18.0    9.0     56   9.28    258     26  312.2  341.2  314.0
  761.0   2462   16.0   11.0     72  10.95    256     24  312.6  346.7  314.7
  749.0   2597   15.4    8.1     62   9.14    255     23  313.4  342.1  315.1
  725.0   2873   14.2    2.2     44   6.22    242     23  315.0  334.9  316.2
  702.0   3144   12.0    3.7     57   7.14    230     22  315.5  338.3  316.8
  700.0   3168   11.8    3.8     58   7.23    230     22  315.5  338.6  316.9
  636.0   3960    6.4    3.0     79   7.50    235     22  318.1  342.3  319.6
  618.0   4198    4.8    2.7     86   7.58    220     20  318.9  343.4  320.4
  594.0   4519    3.5   -0.2     76   6.37    200     17  321.1  341.9  322.3
  577.0   4755    2.6   -2.4     70   5.59    196     16  322.7  341.2  323.8
  512.0   5712   -2.9   -4.4     89   5.42    177     12  327.2  345.5  328.3
  504.0   5837   -3.4   -6.8     78   4.59    175     11  328.0  343.7  328.9
  500.0   5900   -3.7   -8.0     72   4.21    175     11  328.5  342.9  329.3
  494.0   5996   -4.1   -9.1     68   3.91    176     10  329.1  342.6  329.9
  434.0   7011   -9.9  -11.8     86   3.59    188      3  334.1  346.8  334.9
  423.0   7209  -10.6  -13.9     77   3.10    190      2  335.7  346.8  336.4
  403.0   7583  -11.9  -17.9     61   2.34    181      5  338.7  347.3  339.2
  402.0   7602  -11.7  -19.7     52   2.01    181      6  339.2  346.6  339.6
  400.0   7640  -11.9  -19.9     51   1.98    180      6  339.4  346.8  339.8
  374.0   8149  -16.1  -20.4     69   2.03    121      9  340.4  348.0  340.9
  361.0   8413  -17.9  -23.9     59   1.55     90     10  341.5  347.3  341.8
  346.0   8730  -20.1  -28.1     49   1.10     87     14  342.7  346.9  342.9
  332.0   9034  -22.1  -26.7     66   1.30     85     18  344.1  349.1  344.3
  329.0   9100  -22.5  -26.4     70   1.35     82     17  344.4  349.6  344.6
  315.0   9417  -24.6  -31.9     51   0.84     65     15  345.7  349.1  345.9
  312.0   9487  -25.1  -33.1     47   0.76     68     15  346.0  349.0  346.1
  300.0   9770  -27.3  -31.2     69   0.95     80     14  346.8  350.5  347.0
  295.0   9891  -28.3  -31.7     73   0.92     81     13  347.0  350.7  347.2
  277.0  10338  -31.2  -37.3     55   0.56     85     11  349.1  351.4  349.2
  265.0  10653  -33.3  -41.3     44   0.39     87     15  350.5  352.2  350.6
  250.0  11060  -36.9  -42.9     54   0.35     90     20  351.1  352.6  351.1
  247.0  11143  -37.3  -46.3     39   0.24     89     21  351.7  352.7  351.7
  229.0  11658  -41.9  -47.5     54   0.23     80     25  352.3  353.3  352.3
  224.0  11809  -43.3  -47.9     60   0.22     83     27  352.4  353.4  352.5
  204.0  12429  -48.2  -52.8     59   0.14     95     33  354.2  354.8  354.2
  200.0  12560  -49.3  -53.8     59   0.13     95     36  354.5  355.1  354.6
  166.0  13755  -59.5  -65.5     45   0.03     75     43  356.9  357.1  356.9
  159.0  14022  -62.3  -65.4     66   0.04     70     45  356.6  356.8  356.6
  154.0  14219  -63.9  -70.9     38   0.02     70     46  357.1  357.2  357.1
  150.0  14380  -65.3  -70.3     50   0.02     70     47  357.4  357.5  357.4
  135.0  15012  -71.3  -75.3     55   0.01     75     52  357.7  357.7  357.7
  122.0  15598  -75.2  -79.6     50   0.01     80     57  361.1  361.1  361.1
  111.0  16144  -78.8  -83.6     46   0.00     90     50  364.1  364.1  364.1
  108.0  16303  -79.9  -84.8     44   0.00     85     48  365.0  365.0  365.0
  101.0  16683  -78.3  -85.3     32   0.00     81     48  375.1  375.1  375.1
  100.0  16740  -78.9  -85.9     31   0.00     80     48  375.0  375.1  375.0
   80.3  17978  -82.9  -88.9     35   0.00     88     48  391.1  391.1  391.1
   76.0  18288  -81.9  -89.3     28   0.00     90     48  399.4  399.4  399.4
   71.1  18662  -80.7  -89.7     21   0.00     86     46  409.6  409.6  409.6
   70.0  18750  -79.5  -89.5     18   0.00     85     46  414.0  414.0  414.0
   58.5  19812  -70.4  -89.0      5   0.00     80     40  456.2  456.2  456.2
   50.0  20740  -62.5  -88.5      2   0.00    100     48  495.8  495.8  495.8
   47.2  21097  -60.1  -88.1      1   0.00     97     46  509.8  509.8  509.8
   45.4  21336  -59.9  -87.9      1   0.00     95     45  515.8  515.8  515.8
   43.3  21635  -59.7  -87.7      1   0.00     95     43  523.5  523.5  523.5
   35.7  22834  -61.7  -88.7      2   0.00     95     37  547.9  548.0  547.9
   35.5  22860  -61.6  -88.7      2   0.00     95     37  548.8  548.8  548.8
   31.5  23613  -59.5  -88.5      1   0.01     88     40  573.8  573.8  573.8
   30.0  23920  -56.1  -87.1      1   0.01     85     41  591.1  591.2  591.1
